ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
1280,0,0,0,0,0,0
1369,0,0,0,0,0.168249008779452,0
1370,0,0,0,0,0,0
1456,0,0,0,0,0,0
1457,0,0,0,0,0.168249008779452,0
1458,0,0,0,0,0,0
1459,0,0,0,0,0,0
1460,0,0,0,0,4.52719097155138,0
1546,0,0,0,0,0,0
1547,0,0,0,0,0,0
1548,0,0,0,0,0,0
1549,0,0,0,0,0,0
1550,0,0,0,0,0,0
1636,0,0,0,0,0,0
1637,0,0,0,0,0,0
1638,0,0,0,0,4.52719097155138,0
1639,0,0,0,0,9.05438194310275,0
1640,0,0,0,0,4.52719097155138,0
1726,0,0,0,0,0,0
1727,0,0,0,0,0,0
1728,0,0,0,0,0,0
1729,0,0,0,0,0,0
1730,0,0,0,0,22.6359548577569,0
1731,0,0,0,0,0,0
1732,0,0,0,0,0.13450116282277,0
1816,0,0,0,0,0,0
1817,0,0,0,0,0,0
1818,0,0,0,0,9.05438194310275,0
1819,0,0,0,0,40.7447187439624,0
1820,0,0,0,0,9.05438194310275,0
1821,0,0,0,0,0,0
1822,0,0,0,0,0,0
1907,0,0,0,0,0,0
1908,0,0,0,0,9.05438194310275,0
1909,0,0,0,0,43.7115019724591,0
1910,0,0,0,0,4.52719097155138,0
1911,0,0,0,0,0,0
1912,0,0,0,0,0,0
1997,0,0,0,0,0,0
1998,0,0,0,0,4.52719097155138,0
1999,0,0,0,0,9.05438194310275,0
2000,0,0,0,0,0.22036724183182,0
2088,0,0,0,0,0,0
2089,0,0,0,0,0,0
2090,0,0,0,0,0,0
2178,0,0,0,0,0,0
2179,0,0,0,0,0,0
2180,0,0,0,0,0,0
2181,0,0,0,0,0,0
2269,0,0,0,0,0,0
2270,0,0,0,0,0,0
2271,0,0,0,0,0,0
